word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
negotiate,/nɪˈɡəʊʃieɪt/,v.,谈判；协商,The two sides agreed to negotiate.,双方同意进行谈判。,考研,2
notion,/ˈnəʊʃn/,n.,概念；观念,The notion of equality is widely accepted.,平等的观念被广泛接受。,考研,2
obstacle,/ˈɒbstəkl/,n.,障碍；阻碍,Fear is the biggest obstacle to success.,恐惧是成功最大的障碍。,考研,2
obvious,/ˈɒbviəs/,adj.,明显的；显然的,It is obvious that he is lying.,很明显他在说谎。,考研,1
perceive,/pəˈsiːv/,v.,感知；察觉,People perceive the same event differently.,人们对同一事件的感知不同。,考研,2
priority,/praɪˈɒrəti/,n.,优先事项；优先权,Safety is our top priority.,安全是我们的首要任务。,考研,1
qualify,/ˈkwɒlɪfaɪ/,v.,使合格；取得资格,His degree qualifies him for the job.,他的学历使他有资格做这份工作。,考研,2
reluctant,/rɪˈlʌktənt/,adj.,不情愿的；勉强的,She was reluctant to admit her mistake.,她不愿承认自己的错误。,考研,2
reinforce,/ˌriːɪnˈfɔːs/,v.,加强；强化,The news reinforced our confidence.,这个消息增强了我们的信心。,考研,3
significant,/sɪɡˈnɪfɪkənt/,adj.,显著的；重要的,There has been a significant improvement.,已经有了显著的改善。,考研,1
strategy,/ˈstrætədʒi/,n.,策略；战略,We need a long-term strategy.,我们需要一个长期战略。,考研,1
transform,/trænsˈfɔːm/,v.,转变；改造,The internet has transformed our lives.,互联网改变了我们的生活。,考研,2
undermine,/ˌʌndəˈmaɪn/,v.,削弱；破坏,Stress can undermine your health.,压力会损害你的健康。,考研,3
ultimate,/ˈʌltɪmət/,adj.,最终的；根本的,Our ultimate goal is world peace.,我们的最终目标是世界和平。,考研,2
vulnerable,/ˈvʌlnərəbl/,adj.,脆弱的；易受伤害的,Children are vulnerable to disease.,儿童容易受到疾病的侵害。,考研,3
welfare,/ˈwelfeər/,n.,福利；幸福,The government cares about social welfare.,政府关心社会福利。,考研,1
widespread,/ˈwaɪdspred/,adj.,广泛的；普遍的,The disease became widespread quickly.,这种疾病迅速广泛传播。,考研,1
yield,/jiːld/,v.,产出；屈服,The land yields a rich harvest.,这片土地产出丰富。,考研,2
zeal,/ziːl/,n.,热情；热忱,He works with great zeal.,他以极大的热情工作。,考研,2
